"","m","sd"
"200",1e-04,0.01
"201",0,0
"202",0.0108,0.103365508961376
"203",0,0
"204",0,0
"205",0.0125,0.111107985754625
"206",0,0
"207",0,0
"208",0.0112,0.10524099755683
"209",0,0
"210",0,0
"211",0.0121,0.109337941623884
"212",0,0
"213",0,0
"214",0.0103,0.100969943512658
"215",0,0
"216",0,0
"217",0.0081,0.0896392409570269
"218",1e-04,0.01
"219",0,0
"220",0.0478,0.213353490646854
"221",2e-04,0.0141414284285499
"222",0,0
"223",0.0116,0.107082149113033
"224",0,0
"225",0,0
"226",0.0093,0.0959918300854
"227",0,0
"228",0,0
"229",0.0274,0.163254112323454
"230",0.0685,0.252614590657668
"231",0.1168,0.321197877962605
"232",0.0298,0.170043675228303
"233",0.0782,0.268499477088727
"234",0.1355,0.34227396212174
"235",0.0266,0.160919326070396
"236",0.0647,0.246008052706003
"237",0.1118,0.315135988216368
"238",0.0215,0.145051211595762
"239",0.0466,0.210791089205234
"240",0.0784,0.268813441008084
"241",0.0153,0.122749406278296
"242",0.0362,0.186796812887508
"243",0.0612,0.239708794228754
"244",0.0246,0.154910424839558
"245",0.0589,0.235449216676045
"246",0.1021,0.302794911575224
"247",0.0298,0.170043675228303
"248",0.0776,0.267554477704736
"249",0.1193,0.324157396648264
"250",0.0271,0.162382963461942
"251",0.0731,0.260313592262547
"252",0.121,0.326143583355087
"253",8e-04,0.0282743690291119
"254",0,0
"255",0,0
"256",0.0039,0.0623312001958232
"257",0,0
"258",0,0
"259",4e-04,0.0199969994748912
"260",0,0
"261",0,0
"262",1e-04,0.01
"263",0,0
"264",0,0
"265",0,0
"266",0,0
"267",0,0
"268",1e-04,0.01
"269",0,0
"270",0,0
"271",0,0
"272",0,0
"273",0,0
"274",1e-04,0.01
"275",0,0
"276",0,0
"277",2e-04,0.0141414284285499
"278",0,0
"279",0,0
"280",1e-04,0.01
"281",0,0
"282",0,0
"283",1e-04,0.01
"284",0,0
"285",0,0
"286",1e-04,0.01
"287",0,0
"288",0,0
"289",1e-04,0.01
"290",0,0
"291",0,0
"292",1e-04,0.01
"293",0,0
"294",0,0
"295",2e-04,0.0141414284285499
"296",0,0
"297",0,0
"298",0.0286,0.166687787440617
"299",0.0399,0.195734057287224
"300",0,0
"301",0.023,0.149910797892388
"302",0.0327,0.177859139172939
"303",0,0
"304",4e-04,0.0199969994748912
"305",0,0
"306",0,0
"307",4e-04,0.0199969994748912
"308",0,0
"309",0,0
"310",3e-04,0.0173187757650303
"311",0,0
"312",0,0
"313",0.0039,0.0623312001958232
"314",0,0
"315",0,0
"316",0.0026,0.0509264111236497
"317",0,0
"318",0,0
"319",0.0039,0.0623312001958232
"320",0,0
"321",0,0
"322",0.0029,0.0537761953648526
"323",0,0
"324",0,0
"325",0.0029,0.0537761953648526
"326",0,0
"327",0,0
"328",0.0041,0.0639030387371053
"329",0,0
"330",0,0
"331",0.0034,0.0582132190991684
"332",0,0
"333",0,0
"334",0.0025,0.049939957948921
"335",0,0
"336",0,0
"337",0.002,0.044678849805719
"338",0,0
"339",0,0
"340",1e-04,0.01
"341",0,0
"342",0,0
"343",3e-04,0.0173187757650303
"344",0,0
"345",0,0
"346",3e-04,0.0173187757650303
"347",0,0
"348",0,0
"349",0,0
"350",0,0
"351",0,0
"352",8e-04,0.0282743690291119
"353",0,0
"354",0,0
"355",5e-04,0.022356206744392
"356",0,0
"357",0,0
"358",9e-04,0.0299879963984391
"359",0,0
"360",0,0
"361",0.0069,0.0827833033137163
"362",0,0
"363",0,0
"364",0.0017,0.0411980549052112
"365",0,0
"366",0,0
"367",6e-04,0.024488772325231
"368",0,0
"369",0,0
"370",3e-04,0.0173187757650303
"371",0,0
"372",0,0
"373",0.0093,0.0959918300854
"374",0,0
"375",0,0
"376",0.0082,0.090186325778001
"377",0,0
"378",0,0
"379",0.0081,0.0896392409570269
"380",0,0
"381",0,0
"382",0.0105,0.101935220012064
"383",0,0
"384",0,0
"385",0,0
"386",0,0
"387",0,0
"388",0,0
"389",0,0
"390",0,0
"391",0,0
"392",0,0
"393",0,0
"394",0,0
"395",0,0
"396",0,0
"397",0,0
"398",0,0
"399",0,0
"400",1e-04,0.01
"401",0,0
"402",0,0
"403",0,0
"404",0,0
"405",0,0
"406",0,0
"407",0,0
"408",0,0
"409",0,0
"410",0,0
"411",0,0
"412",2e-04,0.0141414284285499
"413",0,0
"414",0,0
"415",3e-04,0.0173187757650303
"416",0,0
"417",0,0
"418",0.0087,0.0928718069020504
"419",0,0
"420",0,0
"421",5e-04,0.022356206744392
"422",0,0
"423",0,0
"424",0.001,0.0316085417251571
"425",0,0
"426",0,0
"427",0.0019,0.0435497377485307
"428",0,0
"429",0,0
